ISIN Code,Company Name,Industry,Symbol,Series
INE160A01022,Punjab National Bank,Financial Services,PNB,EQ
INE777K01022,R R Kabel Ltd.,Capital Goods,RRKABEL,EQ
INE976G01028,RBL Bank Ltd.,Financial Services,RBLBANK,EQ
INE020B01018,REC Ltd.,Financial Services,RECLTD,EQ
INE743M01012,RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ
INE320J01015,RITES Ltd.,Construction,RITES,EQ
INE944F01028,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ
INE415G01027,Rail Vikas Nigam Ltd.,Construction,RVNL,EQ
INE0DD101019,Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ
INE961O01016,Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ
INE399G01023,Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ
INE027A01015,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ
INE891D01026,Redington Ltd.,Services,REDINGTON,EQ
INE002A01018,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ
INE036A01016,Reliance Infrastructure Ltd.,Power,RELINFRA,BE
INE614G01033,Reliance Power Ltd.,Power,RPOWER,EQ
INE423Y01016,SBFC Finance Ltd.,Financial Services,SBFC,EQ
INE018E01016,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ
INE123W01016,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ
INE002L01015,SJVN Ltd.,Power,SJVN,EQ
INE647A01010,SRF Ltd.,Chemicals,SRF,EQ
INE0W2G01015,Sagility Ltd.,Information Technology,SAGILITY,EQ
INE570L01029,Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ
INE148I01020,Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ
INE775A01035,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ
INE806T01020,Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ
INE385C01021,Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ
INE979A01025,Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ
INE513A01022,Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ
INE839M01018,Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ
INE109A01011,Shipping Corporation of India Ltd.,Services,SCI,EQ
INE070A01015,Shree Cement Ltd.,Construction Materials,SHREECEM,EQ
INE721A01047,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ
INE810G01011,Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ
INE1NPP01017,Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ
INE003A01024,Siemens Ltd.,Capital Goods,SIEMENS,EQ
INE903U01023,Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ
INE671H01015,Sobha Ltd.,Realty,SOBHA,EQ
INE343H01029,Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ
INE073K01018,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ
INE269A01021,Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ
INE575P01011,Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ
INE062A01020,State Bank of India,Financial Services,SBIN,EQ
INE114A01011,Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ
INE258G01013,Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ
INE044A01036,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ
INE424H01027,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ
INE660A01013,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ
INE387A01021,Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ
INE195A01028,Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ
INE040H01021,Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ
INE665A01038,Swan Corp Ltd.,Chemicals,SWANCORP,EQ
INE00H001014,Swiggy Ltd.,Consumer Services,SWIGGY,EQ
INE398R01022,Syngene International Ltd.,Healthcare,SYNGENE,EQ
INE0DYJ01015,Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ
INE673O01025,TBO Tek Ltd.,Consumer Services,TBOTEK,EQ
INE494B01023,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ
INE092A01019,Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ
INE151A01013,Tata Communications Ltd.,Telecommunication,TATACOMM,EQ
INE467B01029,Tata Consultancy Services Ltd.,Information Technology,TCS,EQ
INE192A01025,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ
INE670A01012,Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ
INE672A01026,Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ
INE155A01022,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ
INE245A01021,Tata Power Co. Ltd.,Power,TATAPOWER,EQ
INE081A01020,Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ
INE142M01025,Tata Technologies Ltd.,Information Technology,TATATECH,EQ
INE517B01013,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ
INE669C01036,Tech Mahindra Ltd.,Information Technology,TECHM,EQ
INE285K01026,Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ
INE010J01012,Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ
INE470Y01017,The New India Assurance Company Ltd.,Financial Services,NIACL,EQ
INE331A01037,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ
INE152A01029,Thermax Ltd.,Capital Goods,THERMAX,EQ
INE325A01013,Timken India Ltd.,Capital Goods,TIMKEN,EQ
INE615H01020,Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ
INE280A01028,Titan Company Ltd.,Consumer Durables,TITAN,EQ
INE685A01028,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ
INE813H01021,Torrent Power Ltd.,Power,TORNTPOWER,EQ
INE763I01026,Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL,EQ
INE849A01020,Trent Ltd.,Consumer Services,TRENT,EQ
INE064C01022,Trident Ltd.,Textiles,TRIDENT,EQ
INE256C01024,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ
INE152M01016,Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ
INE974X01010,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ
INE691A01018,UCO Bank,Financial Services,UCOBANK,EQ
INE405E01023,UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ
INE628A01036,UPL Ltd.,Chemicals,UPL,EQ
INE094J01016,UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ
INE481G01011,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ
INE692A01016,Union Bank of India,Financial Services,UNIONBANK,EQ
INE686F01025,United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ
INE854D01024,United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ
INE228A01035,Usha Martin Ltd.,Capital Goods,USHAMART,EQ
INE951I01027,V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ
INE879I01012,Valor Estate Ltd.,Consumer Services,DBREALTY,EQ
INE825A01020,Vardhman Textiles Ltd.,Textiles,VTL,EQ
INE200M01039,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ
INE825V01034,Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ
INE205A01025,Vedanta Ltd.,Metals & Mining,VEDL,EQ
INE781S01027,Ventive Hospitality Ltd.,Consumer Services,VENTIVE,EQ
INE043W01024,Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ
INE01EA01019,Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ
INE669E01016,Vodafone Idea Ltd.,Telecommunication,IDEA,EQ
INE226A01021,Voltas Ltd.,Consumer Durables,VOLTAS,EQ
INE377N01017,Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ
INE191B01025,Welspun Corp Ltd.,Capital Goods,WELCORP,EQ
INE192B01031,Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ
INE716A01013,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ
INE075A01022,Wipro Ltd.,Information Technology,WIPRO,EQ
INE049B01025,Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ
INE528G01035,Yes Bank Ltd.,Financial Services,YESBANK,EQ
INE342J01019,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ
INE256A01028,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ
INE251B01027,Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ
INE520A01027,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ
INE010B01027,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ
INE738I01010,eClerx Services Ltd.,Services,ECLERX,EQ
INE415A01038,AGI Greenpac Ltd.,Capital Goods,AGI,EQ
INE491J01022,ASK Automotive Ltd.,Automobile and Auto Components,ASKAUTOLTD,EQ
INE767A01016,Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ
INE0LRU01027,Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM,EQ
INE00FF01025,Acutaas Chemicals Ltd.,Healthcare,ACUTAAS,EQ
INE837H01020,Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES,EQ
INE0BWX01014,Aether Industries Ltd.,Chemicals,AETHER,EQ
INE758C01029,Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,EQ
INE274Y01021,Ajax Engineering Ltd.,Capital Goods,AJAXENGG,EQ
INE03Q201024,Alivus Life Sciences Ltd.,Healthcare,ALIVUS,EQ
INE418H01029,Allcargo Logistics Ltd.,Services,ALLCARGO,EQ
INE552Z01027,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL,EQ
INE930P01018,Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ
INE988S01028,Apeejay Surrendra Park Hotels Ltd.,Consumer Services,PARKHOTELS,EQ
INE128X01021,Archean Chemical Industries Ltd.,Chemicals,ACI,EQ
INE955V01021,Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,EQ
INE034A01011,Arvind Ltd.,Textiles,ARVIND,EQ
INE442H01029,Ashoka Buildcon Ltd.,Construction,ASHOKA,EQ
INE386C01029,Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,EQ
INE132H01018,Aurionpro Solution Ltd.,Information Technology,AURIONPRO,EQ
INE0LCL01028,Avalon Technologies Ltd.,Capital Goods,AVALON,EQ
INE871C01038,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ
INE108V01019,Awfis Space Solutions Ltd.,Services,AWFIS,EQ
INE02IJ01035,Azad Engineering Ltd.,Capital Goods,AZAD,EQ
INE193E01025,Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,EQ
INE050E01027,Balaji Amines Ltd.,Chemicals,BALAMINES,EQ
INE011E01029,Balu Forge Industries Ltd.,Capital Goods,BALUFORGE,EQ
INE213C01025,Banco Products (India) Ltd.,Automobile and Auto Components,BANCOINDIA,EQ
INE894V01022,Belrise Industries Ltd.,Automobile and Auto Components,BELRISE,EQ
INE464A01036,Bharat Bijlee Ltd.,Capital Goods,BBL,EQ
INE340A01012,Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ
INE0UIZ01018,Blackbuck Ltd.,Services,BLACKBUCK,EQ
INE666D01022,Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ
INE782A01015,Bosch Home Comfort India Ltd.,Consumer Durables,BOSCH-HCIL,EQ
INE536H01010,CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ
INE925R01014,CMS Info Systems Ltd.,Services,CMSINFO,EQ
INE679A01013,CSB Bank Ltd.,Financial Services,CSBBANK,EQ
INE290S01011,Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ
INE0AG901020,Ceigall India Ltd.,Construction,CEIGALL,EQ
INE0LMW01024,Cello World Ltd.,Consumer Durables,CELLO,EQ
INE686A01026,Cemindia Projects Ltd.,Construction,CEMPRO,EQ
INE675C01017,Cigniti Technologies Ltd.,Information Technology,CIGNITITEC,EQ
INE055S01018,Cyient DLM Ltd.,Capital Goods,CYIENTDLM,EQ
INE503A01015,DCB Bank Ltd.,Financial Services,DCBBANK,EQ
INE365B01017,Datamatics Global Services Ltd.,Information Technology,DATAMATICS,EQ
INE435G01025,Dhanuka Agritech Ltd.,Chemicals,DHANUKA,EQ
INE989C01038,Diamond Power Infrastructure Ltd.,Capital Goods,DIACABS,EQ
INE917M01012,Dilip Buildcon Ltd.,Construction,DBL,EQ
INE385W01011,Dishman Carbogen Amcis Ltd.,Healthcare,DCAL,EQ
INE021O01019,Dodla Dairy Ltd.,Fast Moving Consumer Goods,DODLA,EQ
DUM418H01029,Dummy Allcargo Logistics Ltd.,Services,DUMMYALCAR,EQ
INE221B01012,Dynamatic Technologies Ltd.,Capital Goods,DYNAMATECH,EQ
INE255A01020,EPL Ltd.,Capital Goods,EPL,EQ
INE07O001026,Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ
INE532F01054,Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EQ
INE02YR01019,Electronics Mart India Ltd.,Consumer Services,EMIL,EQ
INE086A01029,Electrosteel Castings Ltd.,Capital Goods,ELECTCAST,EQ
INE069I01010,Embassy Developments Ltd.,Realty,EMBDL,BE
INE010601016,Entero Healthcare Solutions Ltd.,Consumer Services,ENTERO,EQ
INE0LLY01014,Enviro Infra Engineers Ltd.,Utilities,EIEL,EQ
INE071N01016,Epigral Ltd.,Chemicals,EPIGRAL,EQ
INE063P01018,Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ
INE04TZ01018,Ethos Ltd.,Consumer Durables,ETHOSLTD,EQ
INE0KCE01017,Eureka Forbes Ltd.,Consumer Durables,EUREKAFORB,EQ
INE258B01022,FDC Ltd.,Healthcare,FDC,EQ
INE737H01014,Fiem Industries Ltd,Automobile and Auto Components,FIEMIND,EQ
INE686Y01026,Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ
INE201P01022,G R Infraprojects Ltd.,Construction,GRINFRA,EQ
INE539A01019,GHCL Ltd.,Chemicals,GHCL,EQ
INE541A01023,GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ
INE0CU601026,GMR Power and Urban Infra Ltd.,Power,GMRP&UI,EQ
INE524A01029,Gabriel India Ltd.,Automobile and Auto Components,GABRIEL,EQ
INE297H01019,Gallantt Ispat Ltd.,Capital Goods,GALLANTT,EQ
INE460C01014,Ganesh Housing Ltd.,Realty,GANESHHOU,EQ
INE845D01014,Ganesha Ecosphere Ltd.,Textiles,GANECOS,EQ
INE291A01017,Garware Hi-Tech Films Ltd.,Capital Goods,GRWRHITECH,EQ
INE276A01018,Garware Technical Fibres Ltd.,Textiles,GARFIBRES,EQ
INE079J01017,Gateway Distriparks Ltd.,Services,GATEWAY,EQ
INE887G01027,Gokaldas Exports Ltd.,Textiles,GOKEX,EQ
INE224A01026,Greaves Cotton Ltd.,Capital Goods,GREAVESCOT,EQ
INE08ZM01014,Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL,EQ
INE036B01030,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,EQ
INE113A01013,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ
INE517F01014,Gujarat Pipavav Port Ltd.,Services,GPPL,EQ
INE026A01025,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC,EQ
INE635Q01029,Gulf Oil Lubricants India Ltd.,Oil Gas & Consumable Fuels,GULFOILLUB,EQ
INE926X01010,H.G. Infra Engineering Ltd.,Construction,HGINFRA,EQ
INE075I01017,Healthcare Global Enterprises Ltd.,Healthcare,HCG,EQ
INE0AJG01018,Hemisphere Properties India Ltd.,Services,HEMIPROP,EQ
INE978A01027,Heritage Foods Ltd.,Fast Moving Consumer Goods,HERITGFOOD,EQ
INE475B01022,Hikal Ltd.,Healthcare,HIKAL,EQ
INE549A01026,Hindustan Construction Co. Ltd.,Construction,HCC,EQ
INE559A01017,IFB Industries Ltd.,Consumer Durables,IFBIND,EQ
INE489L01022,IIFL Capital Services Ltd.,Financial Services,IIFLCAPS,EQ
INE172N01012,Imagicaaworld Entertainment Ltd.,Consumer Services,IMAGICAA,EQ
INE560A01023,India Glycols Ltd.,Fast Moving Consumer Goods,INDIAGLYCO,EQ
INE922K01024,India Shelter Finance Corporation Ltd.,Financial Services,INDIASHLTR,EQ
INE919H01018,Indian Metals & Ferro Alloys Ltd.,Metals & Mining,IMFA,EQ
INE09VQ01012,Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS,EQ
INE483B01026,Indo Count Industries Ltd.,Textiles,ICIL,EQ
INE483S01020,Infibeam Avenues Ltd.,Financial Services,INFIBEAM,EQ
INE177A01018,Ingersoll Rand (India) Ltd.,Capital Goods,INGERRAND,EQ
INE0DUT01020,Innova Captab Ltd.,Healthcare,INNOVACAP,EQ
INE510W01014,Inox Green Energy Services Ltd.,Power,INOXGREEN,EQ
INE570A01022,Ion Exchange (India) Ltd.,Utilities,IONEXCHANG,EQ
INE858B01029,Isgec Heavy Engineering Ltd.,Construction,ISGEC,EQ
INE576I01022,J.Kumar Infraprojects Ltd.,Construction,JKIL,EQ
INE786A01032,JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ
INE789E01012,JK Paper Ltd.,Forest Materials,JKPAPER,EQ
INE091G01026,Jai Balaji Industries Ltd.,Metals & Mining,JAIBALAJI,EQ
INE175A01038,Jain Irrigation Systems Ltd.,Capital Goods,JISLJALEQS,EQ
INE039C01032,Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO,EQ
INE953L01027,Jana Small Finance Bank Ltd.,Financial Services,JSFB,EQ
INE247D01039,Jindal Worldwide Ltd.,Textiles,JINDWORLD,EQ
INE599M01018,Justdial Ltd.,Consumer Services,JUSTDIAL,EQ
INE634I01029,KNR Constructions Ltd.,Construction,KNRCON,EQ
INE542W01025,KPI Green Energy Ltd.,Power,KPIGREEN,EQ
INE001B01026,KRBL Ltd.,Fast Moving Consumer Goods,KRBL,EQ
INE0Q3J01015,KRN Heat Exchanger and Refrigeration Ltd.,Capital Goods,KRN,EQ
INE907A01026,Kalyani Steels Ltd.,Capital Goods,KSL,EQ
INE531A01024,Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ
INE614B01018,Karnataka Bank Ltd.,Financial Services,KTKBANK,EQ
INE455I01029,Kaveri Seed Company Ltd.,Fast Moving Consumer Goods,KSCL,EQ
INE811A01020,Kirloskar Pneumatic Company Ltd.,Capital Goods,KIRLPNU,EQ
INE602G01020,Kitex Garments Ltd.,Textiles,KITEX,EQ
INE269B01029,LMW Ltd.,Capital Goods,LMW,EQ
INE576O01020,Laxmi Organic Industries Ltd.,Chemicals,LXCHEM,EQ
INE0HV901016,Le Travenues Technology Ltd.,Consumer Services,IXIGO,EQ
INE093R01011,Lloyds Engineering Works Ltd.,Capital Goods,LLOYDSENGG,EQ
INE080I01025,Lloyds Enterprises Ltd.,Metals & Mining,LLOYDSENT,EQ
INE872H01027,Lumax Auto Technologies Ltd.,Automobile and Auto Components,LUMAXTECH,EQ
INE150G01020,Lux Industries Ltd.,Textiles,LUXIND,EQ
INE490G01020,MOIL Ltd.,Metals & Mining,MOIL,EQ
INE255X01014,MSTC Ltd.,Services,MSTCLTD,EQ
INE864I01014,MTAR Technologies Ltd.,Capital Goods,MTARTECH,EQ
INE813A01018,Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,EQ
INE949H01023,Man Infraconstruction Ltd.,Construction,MANINFRA,EQ
INE00VM01036,Manorama Industries Ltd.,Fast Moving Consumer Goods,MANORAMA,EQ
